Timestamp,Voltage (V),Current (A),Power (W),Energy (kWh),Status
11/10/2025 3:24,237.7,0.9,106.7,0.000148,ON
11/10/2025 3:24,237.7,0.901,106.1,0.000296,ON
11/10/2025 3:24,237.7,0.897,105.9,0.000443,ON
11/10/2025 3:24,237.7,0.903,105.9,0.00059,ON
11/10/2025 3:24,237.7,0.899,106,0.000737,ON
11/10/2025 3:24,237.7,0.899,106,0.000884,ON
11/10/2025 3:24,237.7,0.899,106,0.001031,ON
11/10/2025 3:24,237.7,0.899,106,0.001179,ON
11/10/2025 3:25,237.7,0.899,106,0.001326,ON
11/10/2025 3:25,237.7,0.899,106,0.001473,ON
11/10/2025 3:25,237.7,0.899,106,0.00162,ON
11/10/2025 3:25,237.7,0.899,106,0.001767,ON
11/10/2025 3:25,237.7,0.899,106,0.001915,ON
11/10/2025 3:25,237.7,0.899,106,0.002062,ON
11/10/2025 3:25,237.7,0,0,0.002062,ON
11/10/2025 3:25,237.7,0,0,0.002062,ON
11/10/2025 3:25,237.7,0,0,0.002062,ON
11/10/2025 3:25,237.7,0,0,0.002062,ON
11/10/2025 3:25,237.7,0,0,0.002062,ON
11/10/2025 3:25,237.7,0,0,0.002062,ON
11/10/2025 3:26,237.7,0,0,0.002062,ON
11/10/2025 3:26,237.7,0,0,0.002062,ON
11/10/2025 3:26,237.7,0,0,0.002062,ON
11/10/2025 3:26,237.7,0,0,0.002062,ON
11/10/2025 3:26,237.7,0,0,0.002062,ON
11/10/2025 3:26,237.7,0,0,0.002062,ON
11/10/2025 3:26,237.7,0,0,0.002062,ON
11/10/2025 3:26,237.7,0,0,0.002062,ON
11/10/2025 3:26,237.7,0,0,0.002062,ON
11/10/2025 3:26,237.2,0,0,0.002062,ON
11/10/2025 3:26,237.2,0,0,0.002062,ON
11/10/2025 3:27,237.7,0,0,0.002062,ON
11/10/2025 3:27,237.7,0,0,0.002062,ON
11/10/2025 3:27,237.7,0,0,0.002062,ON
11/10/2025 3:27,237.7,0,0,0.002062,ON
11/10/2025 3:27,237.7,0,0,0.002062,ON
11/10/2025 3:27,237.7,0,0,0.002062,ON
11/10/2025 3:27,237.7,0,0,0.002062,ON
11/10/2025 3:27,237.7,0,0,0.002062,ON
11/10/2025 3:27,237.7,0,0,0.002062,ON
11/10/2025 3:27,237.7,0,0,0.002062,ON
11/10/2025 3:27,237.7,0,0,0.002062,ON
11/10/2025 3:27,237.7,0.913,115,0.002222,ON
11/10/2025 3:28,237.7,0.913,114.3,0.00238,ON
11/10/2025 3:28,237.2,0.913,112.7,0.002537,ON
11/10/2025 3:28,237.2,0.95,130,0.002717,ON
11/10/2025 3:28,237.2,0.913,119.1,0.002883,ON
11/10/2025 3:28,237.2,0.913,119.1,0.003048,ON
11/10/2025 3:28,237.2,0.913,119.1,0.003214,ON
11/10/2025 3:28,237.2,0.913,119.1,0.003379,ON
11/10/2025 3:28,237.2,0.913,119.1,0.003545,ON
11/10/2025 3:28,237.2,0.913,119.1,0.00371,ON
11/10/2025 3:28,237.2,0.913,119.1,0.003875,ON
11/10/2025 3:28,237.2,0.913,119.1,0.004041,ON
11/10/2025 3:28,237.2,0.913,119.1,0.004206,ON
11/10/2025 3:29,237.2,0.913,119.1,0.004372,ON
11/10/2025 3:29,237.2,0.913,119.1,0.004537,ON
11/10/2025 3:29,237.2,0.913,119.1,0.004703,ON
11/10/2025 3:29,237.2,0.913,119.1,0.004868,ON
11/10/2025 3:29,237.2,0.913,119.1,0.005033,ON
11/10/2025 3:29,237.2,0.913,119.1,0.005199,ON
11/10/2025 3:29,237.2,0.913,119.1,0.005364,ON
11/10/2025 3:29,237.7,0.902,105.8,0.005511,ON
11/10/2025 3:29,238.1,0.903,105.3,0.005657,ON
11/10/2025 3:29,238.1,0.903,105.3,0.005804,ON
11/10/2025 3:29,238.1,0.903,105.3,0.00595,ON
11/10/2025 3:29,238.1,0.903,105.3,0.006096,ON
11/10/2025 3:30,238.1,0.903,105.3,0.006242,ON
11/10/2025 3:30,238.1,0.903,105.3,0.006389,ON
11/10/2025 3:30,237.7,0.897,104.9,0.006534,ON
11/10/2025 3:30,237.7,0.897,104.9,0.00668,ON
